ID_Feature,Nombre,Descripción,Estado,Prioridad_Negocio,Target_Release,User_Story,Success_Metrics,Owner,Stakeholders
FEAT-001,Sistema de Gamificación,"Puntos, badges, leaderboards y retos para aumentar engagement de turistas",En Desarrollo,Alta,Sprint 2,"Como turista, quiero ganar puntos por mis compras para obtener descuentos en futuras reservas","50% de usuarios activan sistema de puntos en primeros 30 días | 20% redime puntos en primera compra",Tú,Inversores | Proveedores
FEAT-002,Cotizador B2B Tiempo Real,Sistema de cotización automática para agencias con precios netos y comisiones visibles,Lanzado,Crítica,Sprint 1 - Completado,"Como agencia, quiero cotizar servicios en tiempo real sin esperar respuesta manual","80% de cotizaciones generadas sin intervención manual | Tiempo respuesta <2 minutos",Tú,Agencias | Equipo SAI
FEAT-003,PWA GuanaGO Turista,App web progresiva instalable con catálogo de servicios y mapa interactivo,Planeado,Alta,Sprint 3,"Como turista, quiero instalar la app en mi teléfono para acceder offline a información","1000 usuarios activos mensuales | 60% retention semana 1",Tú,Turistas | Inversores
FEAT-004,Dashboard Proveedores,Panel de administración para que operadores gestionen servicios y cotizaciones,Planeado,Alta,Sprint 2,"Como proveedor, quiero ver y aprobar cotizaciones desde mi teléfono en menos de 5 minutos","90% de cotizaciones aprobadas/rechazadas en <2 horas | 80% satisfaction score",Tú,Proveedores
FEAT-005,Mapa Interactivo SAI,Mapa de San Andrés con puntos de interés turístico y filtros por categoría,Planeado,Media,Sprint 3,"Como turista, quiero ver en un mapa todos los lugares que puedo visitar en la isla","70% de usuarios usan mapa al menos 1 vez | 40% descubre nuevo lugar vía mapa",Tú,Turistas | Secretaría Turismo
FEAT-006,Sistema de Reviews Verificados,Reviews solo de usuarios que completaron reserva + verificación con blockchain,Idea,Media,Sprint 4,"Como turista, quiero leer reviews confiables de personas que realmente fueron","95% de reviews son verificados | 30% de usuarios dejan review post-visita",Tú,Turistas | Proveedores
FEAT-007,Integración de Pagos,Pasarela de pagos con Wompi/Mercado Pago para reservas directas,Planeado,Alta,Sprint 3,"Como turista, quiero pagar mi reserva directamente en la app con tarjeta o PSE","70% de reservas se pagan online | <1% tasa de fraude",Tú,Turistas | Equipo finanzas
FEAT-008,Tokenización Web3,Utility token $GUANA en Polygon para recompensas y governance,Idea,Baja,Sprint 5+,"Como usuario power, quiero tener tokens que aumenten de valor con el crecimiento de la plataforma","10% de usuarios poseen tokens | $500K market cap en 6 meses",Tú,Inversores | Comunidad crypto
FEAT-009,Chat en Vivo 24/7,Sistema de chat con equipo en SAI para resolver dudas en tiempo real,Planeado,Media,Sprint 3,"Como turista, quiero chatear con alguien local si tengo problemas durante mi viaje","<2 min tiempo respuesta promedio | 90% satisfaction score",Tú,Turistas | Equipo SAI
FEAT-010,Experiencias Exclusivas,Tours y eventos solo para usuarios de GuanaGO (Caribbean Night con Cluster Música),Planeado,Alta,Sprint 4,"Como turista, quiero acceder a experiencias únicas que no encuentro en otros lados","30% de usuarios compran al menos 1 experiencia exclusiva | NPS >70",Tú,Cluster Música | Comunidad raizal
FEAT-011,Programa de Referidos,Sistema de referral con bonos tanto para referidor como referido,Idea,Media,Sprint 4,"Como usuario, quiero invitar amigos y que ambos recibamos descuentos","Viral coefficient >1.2 | 40% de nuevos usuarios vienen por referral",Tú,Marketing | Growth
FEAT-012,App Móvil Nativa,Versión nativa iOS/Android con mejor performance y features offline,Idea,Baja,2027,"Como usuario frecuente, quiero una app nativa con mejor rendimiento","50K descargas en 6 meses | 4.5+ rating en stores",Tú,Inversores
