ID_Task,Nombre_Tarea,Descripción,Estado,Prioridad,Sprint,Tipo,Módulo,Componente,Asignado_a,Estimación_Horas,Horas_Reales,Archivos_Relacionados,Fecha_Creación,Fecha_Inicio,Fecha_Completado,Bloqueadores,Notas_Técnicas
TASK-001,Implementar sistema de puntos frontend,Crear componente React que muestre balance de puntos del usuario en tiempo real,En Progreso,Alta,Sprint 1 - ANATO Prep,Feature,Frontend,PointsBalance,Tú,4,0,/src/components/points/PointsBalance.tsx,2026-01-29,2026-01-29,,Esperando definición final de tokenomics,Usar Zustand para state management
TASK-002,Integración Airtable para puntos,Crear endpoints en airtableService para leer/escribir puntos de usuario,To Do,Alta,Sprint 1 - ANATO Prep,Feature,Backend,airtableService,Tú,3,0,/src/services/airtableService.ts,2026-01-29,,,Necesita tabla UserPoints en Airtable,Implementar cache para reducir llamadas API
TASK-003,Diseño UI landing ANATO,Crear landing page /anato2026 con CTA para registro de agencias,To Do,Crítica,Sprint 1 - ANATO Prep,Design,Frontend,LandingANATO,Tú,6,0,/src/pages/ANATO2026.tsx,2026-01-29,,,,"Usar diseños de Canva como referencia, mobile-first"
TASK-004,Fix responsive mobile cotizador,Corregir problemas de layout en móvil del cotizador actual,To Do,Media,Sprint 1 - ANATO Prep,Bug,Frontend,QuoteForm,Tú,2,0,/src/components/QuoteForm.tsx,2026-01-29,,,,Probar en iPhone SE y Android pequeño
TASK-005,Configurar analytics tracking,Implementar Google Analytics 4 para trackear conversiones de cotizaciones,To Do,Media,Sprint 1 - ANATO Prep,Feature,Frontend,Analytics,Tú,2,0,/src/utils/analytics.ts,2026-01-29,,,,"Eventos clave: view_service, start_quote, submit_quote"
TASK-006,Crear pitch deck inversores,Diseñar presentación de 13 slides para pitch a VCs/Angels,Backlog,Alta,Sprint 2 - Fundraising,Docs,Marketing,,Tú,8,0,,2026-01-29,,,,Usar template de Gamma.app o Canva
TASK-007,Documentar API Airtable,Escribir documentación completa de todos los endpoints usados,Backlog,Baja,Sprint 2 - Fundraising,Docs,Backend,,Tú,4,0,/docs/api/airtable.md,2026-01-29,,,,Incluir ejemplos de request/response
TASK-008,Setup PWA manifest GuanaGO,Configurar manifest.json y service worker para app instalable,Backlog,Media,Sprint 3 - GuanaGO,Feature,Frontend,PWA,Tú,3,0,/public/manifest.json,2026-01-29,,,Necesita íconos en varios tamaños,Usar vite-plugin-pwa
TASK-009,Diseño mapa interactivo SAI,Crear mapa de San Andrés con puntos de interés turísticos,Backlog,Alta,Sprint 3 - GuanaGO,Feature,Frontend,MapView,Tú,10,0,/src/components/map/MapView.tsx,2026-01-29,,,Decidir: Mapbox vs Leaflet,Incluir filtros por categoría
TASK-010,Optimizar imágenes servicios,Comprimir y convertir a WebP todas las imágenes de hoteles/tours,To Do,Baja,Sprint 1 - ANATO Prep,Refactor,DevOps,,Tú,2,0,/public/images/,2026-01-29,,,,Usar sharp o imagemin
